title,condition,fuel,odometer,title status,transmission,url,price,cylinders,drive,paint color,size,type,VIN,brand
2002 Subaru Forester L,good,gas,158000,clean,automatic,https://southjersey.craigslist.org/cto/d/somers-point-2002-subaru-forester/7688469377.html,2000,4 cylinders,4wd,red,full-size,wagon,,subaru
1997 Oldsmobile 88,,gas,128987,clean,automatic,https://southjersey.craigslist.org/ctd/d/burlington-1997-oldsmobile-88-ls-4dr/7688465839.html,1950,6 cylinders,fwd,,,sedan,1G3HN52K8V4862978,
2013 Hyundai Accent,,gas,103259,clean,automatic,https://southjersey.craigslist.org/ctd/d/burlington-2013-hyundai-accent-gls-4dr/7688465809.html,5350,4 cylinders,fwd,black,,sedan,KMHCT4AEXDU562763,hyundai
1997 GMC SAV,good,gas,120472,clean,automatic,https://southjersey.craigslist.org/cto/d/mount-laurel-1997-gmc-savana-14-box/7688464187.html,6999,8 cylinders,rwd,white,,truck,1GDJG31ROV1024360,gmc
2009 INFINITI G37,,other,117075,clean,automatic,https://southjersey.craigslist.org/ctd/d/new-brunswick-2009-infiniti-g37x/7688462031.html,6999,,4wd,,,sedan,JNKCV61F49M356816,infiniti
2018 VOLKSWAGEN TIGUAN LIMITED,,gas,27309,clean,automatic,https://southjersey.craigslist.org/ctd/d/new-brunswick-2018-volkswagen-tiguan/7688461035.html,15800,,fwd,blue,,SUV,WVGBV7AX2JK003112,volkswagen
2019 VOLKSWAGEN JETTA,,gas,90415,clean,automatic,https://southjersey.craigslist.org/ctd/d/new-brunswick-2019-volkswagen-jetta-14/7688460982.html,14499,,,white,compact,sedan,3VWC57BU0KM129523,volkswagen
2018 VOLKSWAGEN ATLAS,,gas,148828,clean,automatic,https://southjersey.craigslist.org/ctd/d/new-brunswick-2018-volkswagen-atlas/7688460929.html,13499,,,black,,SUV,1V2CR2CA3JC586971,volkswagen
2011 lincoln town car,excellent,gas,135000,clean,automatic,https://southjersey.craigslist.org/cto/d/sicklerville-ride-in-luxury/7688456755.html,4200,6 cylinders,,black,,,,
2018 FORD EXPLORER,,gas,61879,clean,automatic,https://southjersey.craigslist.org/ctd/d/new-brunswick-2018-ford-explorer-xlt/7688449981.html,20499,,4wd,black,,SUV,1FM5K8DH1JGA91797,ford
2018 FORD ESCAPE,,gas,41752,clean,automatic,https://southjersey.craigslist.org/ctd/d/new-brunswick-2018-ford-escape-se/7688449896.html,14995,,4wd,white,,SUV,1FMCU9GD1JUB61509,ford
2012 MINI COUNTRYMAN,,gas,99126,clean,manual,https://southjersey.craigslist.org/ctd/d/new-brunswick-2012-mini-cooper/7688449806.html,8900,,,red,compact,SUV,WMWZC5C50CWM14476,mini
2010 nissan altima,good,gas,124000,clean,automatic,https://southjersey.craigslist.org/cto/d/oceanville-2010-nissan-altima-25/7688440257.html,5400,,,,,,,nissan
2008 BMW 3-Series,,gas,145930,clean,automatic,https://southjersey.craigslist.org/ctd/d/burlington-2008-bmw-series-328xi-awd/7688430766.html,4350,6 cylinders,4wd,,,sedan,WBAVC93558K043500,bmw
2015 Ford F750 Dump Truck,excellent,diesel,70000,clean,automatic,https://southjersey.craigslist.org/cto/d/blackwood-2015-ford-f750-dump-truck/7688413599.html,59900,6 cylinders,rwd,white,full-size,truck,,ford
2012 Jeep Compass,,gas,161684,clean,automatic,https://southjersey.craigslist.org/ctd/d/spotswood-2012-jeep-compass-latitude/7688410254.html,5200,4 cylinders,fwd,red,,SUV,1C4NJCEA8CD526153,jeep
2005 Jeep Liberty,,gas,227571,clean,automatic,https://southjersey.craigslist.org/ctd/d/spotswood-2005-jeep-liberty-limited-4wd/7688410194.html,3500,6 cylinders,4wd,,,SUV,1J4GL58K55W689184,jeep
2004 mercury mountaineer,good,gas,175000,clean,automatic,https://southjersey.craigslist.org/cto/d/palmyra-2004-mercury-mountaineer/7688403104.html,2000,6 cylinders,4wd,grey,full-size,SUV,,
2015 chevy equinox,excellent,gas,120218,clean,automatic,https://southjersey.craigslist.org/cto/d/clementon-2015-chevy-equinox/7688394470.html,9000,4 cylinders,,black,mid-size,SUV,,chevy
2005 Mazda Tribute,,gas,153067,clean,automatic,https://southjersey.craigslist.org/ctd/d/burlington-2005-mazda-tribute-4wd-4dr/7688386336.html,2250,6 cylinders,4wd,red,,SUV,4F2CZ96125KM51790,mazda
2012 Ford F350 Diesel Plow Truck,excellent,diesel,171000,clean,automatic,https://southjersey.craigslist.org/cto/d/blackwood-2012-ford-4x4-crew-cab-diesel/7688384965.html,23900,8 cylinders,4wd,yellow,full-size,pickup,,ford
2005 international 4300 dt466,fair,diesel,400000,clean,automatic,https://southjersey.craigslist.org/cto/d/hammonton-international-dt466-box-truck/7688379706.html,6500,,,,,,,
1994 jeep wrangler,fair,gas,100000,clean,manual,https://southjersey.craigslist.org/cto/d/mays-landing-1994-jeep-wrangler/7688357170.html,4500,6 cylinders,4wd,black,,,,jeep
2006 Pontiac G6,,gas,106838,clean,automatic,https://southjersey.craigslist.org/ctd/d/burlington-2006-pontiac-g6-gtp-2dr/7688336566.html,3995,6 cylinders,fwd,black,,coupe,1G2ZM361964287244,pontiac
1995 subaru legacy,good,gas,70000,clean,automatic,https://southjersey.craigslist.org/cto/d/maple-shade-1995-subaru-legacy/7688321756.html,4350,4 cylinders,4wd,green,full-size,wagon,,subaru
2022 international MV607,excellent,diesel,131991,clean,automatic,https://southjersey.craigslist.org/ctd/d/lakewood-2022-international-mv607-with/7688310633.html,114950,6 cylinders,rwd,white,full-size,truck,,
2006 toyota camry solara convertible,excellent,gas,99000,clean,automatic,https://southjersey.craigslist.org/cto/d/oceanville-2006-toyota-solara-sl-low/7688308538.html,4400,6 cylinders,fwd,white,mid-size,sedan,,toyota
2006 acura mdx touring w/navi w/res,excellent,gas,155000,clean,automatic,https://southjersey.craigslist.org/cto/d/oceanville-2006-acura-mdx-touring-4x4/7688307850.html,4200,6 cylinders,4wd,blue,mid-size,SUV,,acura
2004 chrysler town and country,excellent,gas,109000,clean,automatic,https://southjersey.craigslist.org/cto/d/oceanville-2004-chrysler-town-and/7688307511.html,3500,6 cylinders,fwd,silver,mid-size,mini-van,,chrysler
2010 mercury milan,excellent,gas,110000,clean,automatic,https://southjersey.craigslist.org/cto/d/cherry-hill-2010-mercury-milan-premier/7688292757.html,6000,6 cylinders,4wd,red,,sedan,,
2021 ford f-650 f650 rollback flatbed,excellent,diesel,124302,clean,automatic,https://southjersey.craigslist.org/ctd/d/lakewood-2021-ford-f650-jerrdan-tow/7688287062.html,99950,8 cylinders,rwd,black,full-size,truck,,ford
